item,year,runtime_min,imdbId,votes
1,1995,81,114709,68470.0
2,1995,104,113497,27143.0
3,1995,101,113228,15585.0
4,1995,124,114885,2989.0
5,1995,106,113041,15474.0
6,1995,170,113277,28683.0
7,1995,127,114319,15301.0
8,1995,97,112302,1539.0
9,1995,111,114576,4449.0
10,1995,130,113189,33086.0
11,1995,114,112346,19669.0
12,1995,88,112896,4524.0
13,1995,78,112453,1952.0
14,1995,192,113987,6838.0
15,1995,124,112760,3154.0
16,1995,178,112641,21165.0
17,1995,136,114388,24552.0
18,1995,98,113101,6255.0
19,1995,90,112281,24913.0
20,1995,110,113845,4658.0
21,1995,105,113161,25699.0
22,1995,123,112722,11136.0
23,1995,133,112401,4871.0
24,1995,111,114168,9191.0
25,1995,111,113627,24841.0
26,1995,123,114057,3028.0
27,1995,100,114011,1876.0
28,1995,107,114117,3424.0
29,1995,112,112682,10024.0
30,1995,108,115012,1361.0
31,1995,99,112792,11802.0
32,1995,129,114746,54846.0
33,1995,50,114952,72.0
34,1995,91,112431,35903.0
35,1995,121,112637,1572.0
36,1995,122,112818,23955.0
37,1995,51,112286,89.0
38,1995,101,113442,712.0
39,1995,97,112697,29422.0
40,1995,106,112749,945.0
41,1995,110,114279,5082.0
42,1995,119,112819,2620.0
43,1995,117,114272,2667.0
44,1995,101,113855,13098.0
45,1995,106,114681,9719.0
46,1995,117,113347,3334.0
47,1995,127,114369,55240.0
48,1995,81,114148,16358.0
49,1995,94,114916,268.0
50,1995,106,114814,62180.0
51,1994,97,109950,35.0
52,1995,95,113819,10398.0
53,1994,116,110299,161.0
54,1995,100,112499,1064.0
55,1995,115,113158,978.0
56,1995,89,113541,83.0
57,1995,103,113321,2530.0
58,1994,108,110877,13388.0
59,1995,100,112714,205.0
60,1995,96,113419,7601.0
61,1996,101,116260,2465.0
62,1995,143,113862,23359.0
63,1996,89,116126,2744.0
64,1996,96,118002,2192.0
65,1996,88,115683,5837.0
66,1996,93,116839,2586.0
67,1995,85,114753,176.0
68,1995,104,113149,1318.0
69,1995,91,113118,5217.0
70,1996,108,116367,15821.0
71,1995,91,113010,1366.0
72,1995,96,113537,1334.0
73,1995,175,113828,3436.0
74,1996,87,115644,3833.0
75,1996,90,115676,603.0
76,1995,108,114367,3726.0
77,1995,70,113973,229.0
78,1995,111,112744,1284.0
79,1996,118,116731,6341.0
80,1995,85,112445,603.0
81,1995,115,114660,3449.0
82,1995,102,112379,2724.0
83,1995,115,114039,617.0
84,1995,108,113612,167.0
85,1995,116,112365,2834.0
86,1996,129,118158,4606.0
87,1996,88,116151,1112.0
88,1996,87,115697,5907.0
89,1995,90,113972,3489.0
90,1995,91,113490,226.0
92,1996,108,117002,2462.0
93,1995,100,114825,2183.0
94,1996,112,115639,4383.0
95,1996,108,115759,25847.0
96,1995,99,113403,514.0
97,1995,98,113247,2848.0
98,1994,105,111173,91.0
99,1995,106,113283,769.0
100,1996,111,115907,4451.0
101,1996,91,115734,4953.0
102,1996,96,117102,2142.0
103,1996,117,118040,1209.0
104,1996,92,116483,22247.0
105,1995,135,112579,11284.0
106,1994,104,110251,140.0
107,1996,99,117110,8122.0
108,1995,95,112646,136.0
109,1995,110,113276,18.0
110,1995,178,112573,68803.0
111,1976,114,75314,32885.0
112,1995,104,113326,13417.0
113,1996,108,115645,1158.0
114,1995,114,113774,256.0
115,1995,106,112556,52.0
116,1995,117,112373,1046.0
117,1995,99,115033,1314.0
118,1996,92,116606,1177.0
119,1995,135,114536,272.0
120,1996,100,117427,168.0
121,1992,93,106473,861.0
122,1992,117,103859,4095.0
123,1994,102,109424,2866.0
124,1995,113,114808,342.0
125,1996,92,116324,3679.0
126,1994,95,110647,1543.0
127,1994,127,111055,52.0
128,1995,87,110217,80.0
129,1995,95,114131,201.0
130,1995,99,112364,47.0
131,1995,101,113107,198.0
132,1995,95,113451,2210.0
133,1995,106,114015,21.0
134,1995,87,114500,37.0
135,1996,92,116130,7737.0
136,1995,97,113125,108.0
137,1995,86,113756,242.0
138,1995,91,113952,149.0
139,1995,122,114618,48.0
140,1996,124,118055,5649.0
141,1996,117,115685,26041.0
142,1988,97,94878,43.0
143,1995,125,113200,16.0
144,1995,98,112585,4675.0
145,1995,119,112442,15321.0
146,1995,84,112342,626.0
147,1995,102,112461,5088.0
148,1995,112,112427,374.0
149,1994,105,109093,1140.0
150,1995,140,112384,58665.0
151,1995,139,114287,13600.0
152,1995,82,112288,708.0
153,1995,121,112462,38647.0
154,1967,100,61395,3309.0
155,1995,100,112495,1321.0
156,1995,83,112541,1757.0
157,1995,91,109370,2768.0
158,1995,100,112642,15876.0
159,1995,128,112688,2478.0
160,1995,109,112715,15995.0
161,1995,116,112740,26316.0
162,1994,119,109508,6547.0
163,1995,104,112851,17167.0
164,1995,102,112857,4608.0
165,1995,128,112864,41244.0
166,1995,83,112887,742.0
167,1995,116,113044,84.0
168,1995,134,113071,13746.0
169,1995,95,113114,4062.0
170,1995,105,113243,9574.0
171,1995,92,113464,1465.0
172,1995,103,113481,14458.0
173,1995,96,113492,17131.0
174,1995,88,113500,2226.0
175,1995,91,113540,5783.0
176,1995,90,113677,2486.0
177,1995,109,113690,2410.0
178,1993,100,107447,520.0
179,1995,93,113729,1272.0
180,1995,94,113749,9727.0
181,1995,95,113820,3001.0
182,1995,105,113851,718.0
183,1995,95,110604,640.0
184,1994,93,110620,349.0
185,1995,114,113957,26803.0
186,1995,103,113986,13063.0
187,1995,94,114095,987.0
188,1995,98,114194,2707.0
189,1995,91,114241,343.0
190,1995,119,114323,1035.0
191,1995,135,114345,1864.0
192,1995,93,114435,86.0
193,1995,128,114436,8937.0
194,1995,112,114478,6411.0
195,1995,106,114496,3386.0
196,1995,108,114508,15361.0
197,1995,109,114534,113.0
198,1995,145,114558,9919.0
199,1964,91,58450,1690.0
200,1995,99,114666,356.0
201,1995,115,114663,387.0
202,1995,111,114702,477.0
203,1995,109,114682,6022.0
204,1995,100,114781,9299.0
205,1995,93,114798,1380.0
206,1995,73,114805,1059.0
207,1995,102,114887,6018.0
208,1995,135,114898,31310.0
209,1995,89,114928,778.0
210,1995,98,114938,502.0
211,1994,97,109340,608.0
212,1995,90,112602,482.0
213,1994,135,111579,2019.0
214,1994,113,110882,1020.0
215,1995,101,112471,7227.0
